geo_point_2d;geo_shape;nom_dept;nom_com;insee_com;nom_station;code_station;typologie;influence;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;code_epci
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;15.8;µg/m3;horaire;2021-11-24T11:00:00+01:00;2021-11-24T11:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;16.2;µg/m3;horaire;2021-11-23T03:00:00+01:00;2021-11-23T03:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;17.4;µg/m3;horaire;2021-11-21T20:00:00+01:00;2021-11-21T20:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;18.2;µg/m3;horaire;2021-11-23T00:00:00+01:00;2021-11-23T00:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;20.4;µg/m3;horaire;2021-11-21T09:00:00+01:00;2021-11-21T09:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;23.7;µg/m3;horaire;2021-11-21T19:00:00+01:00;2021-11-21T19:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;2.7;µg/m3;horaire;2021-11-23T15:00:00+01:00;2021-11-23T15:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;3.0;µg/m3;horaire;2021-11-23T14:00:00+01:00;2021-11-23T14:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;3.1;µg/m3;horaire;2021-11-23T17:00:00+01:00;2021-11-23T17:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;3.6;µg/m3;horaire;2021-11-23T13:00:00+01:00;2021-11-23T13:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;4.5;µg/m3;horaire;2021-11-23T19:00:00+01:00;2021-11-23T19:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;5.7;µg/m3;horaire;2021-11-22T17:00:00+01:00;2021-11-22T17:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;6.2;µg/m3;horaire;2021-11-22T11:00:00+01:00;2021-11-22T11:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;6.8;µg/m3;horaire;2021-11-22T12:00:00+01:00;2021-11-22T12:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;7.4;µg/m3;horaire;2021-11-22T08:00:00+01:00;2021-11-22T08:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;7.5;µg/m3;horaire;2021-11-22T19:00:00+01:00;2021-11-22T19:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;7.8;µg/m3;horaire;2021-11-22T07:00:00+01:00;2021-11-22T07:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;7.9;µg/m3;horaire;2021-11-22T10:00:00+01:00;2021-11-22T10:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;8.5;µg/m3;horaire;2021-11-22T09:00:00+01:00;2021-11-22T09:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;8.5;µg/m3;horaire;2021-11-22T06:00:00+01:00;2021-11-22T06:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;8.6;µg/m3;horaire;2021-11-22T05:00:00+01:00;2021-11-22T05:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;8.7;µg/m3;horaire;2021-11-22T04:00:00+01:00;2021-11-22T04:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;9.2;µg/m3;horaire;2021-11-21T23:00:00+01:00;2021-11-21T23:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;9.4;µg/m3;horaire;2021-11-24T03:00:00+01:00;2021-11-24T03:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;9.4;µg/m3;horaire;2021-11-24T02:00:00+01:00;2021-11-24T02:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;10.0;µg/m3;horaire;2021-11-23T07:00:00+01:00;2021-11-23T07:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;10.0;µg/m3;horaire;2021-11-23T08:00:00+01:00;2021-11-23T08:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;10.1;µg/m3;horaire;2021-11-23T23:00:00+01:00;2021-11-23T23:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;11.3;µg/m3;horaire;2021-11-24T07:00:00+01:00;2021-11-24T07:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;11.8;µg/m3;horaire;2021-11-21T02:00:00+01:00;2021-11-21T02:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;12.3;µg/m3;horaire;2021-11-21T12:00:00+01:00;2021-11-21T12:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;13.0;µg/m3;horaire;2021-11-21T00:00:00+01:00;2021-11-21T00:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;13.1;µg/m3;horaire;2021-11-21T17:00:00+01:00;2021-11-21T17:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;13.2;µg/m3;horaire;2021-11-24T10:00:00+01:00;2021-11-24T10:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;14.6;µg/m3;horaire;2021-11-21T06:00:00+01:00;2021-11-21T06:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;14.9;µg/m3;horaire;2021-11-21T07:00:00+01:00;2021-11-21T07:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;15.6;µg/m3;horaire;2021-11-21T20:00:00+01:00;2021-11-21T20:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;15.7;µg/m3;horaire;2021-11-23T02:00:00+01:00;2021-11-23T02:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;16.9;µg/m3;horaire;2021-11-21T14:00:00+01:00;2021-11-21T14:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;17.1;µg/m3;horaire;2021-11-21T18:00:00+01:00;2021-11-21T18:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;22.1;µg/m3;horaire;2021-11-21T19:00:00+01:00;2021-11-21T19:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;6.0;µg/m3;horaire;2021-11-21T19:00:00+01:00;2021-11-21T19:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;11.6;µg/m3;horaire;2021-11-21T18:00:00+01:00;2021-11-21T18:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;20.6;µg/m3;horaire;2021-11-21T17:00:00+01:00;2021-11-21T17:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;22.9;µg/m3;horaire;2021-11-21T16:00:00+01:00;2021-11-21T16:59:59+01:00;1;244500468
47.837765,1.944658;"{""type"": ""Point"", ""coordinates"": [1.944658, 47.837765]}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;25.2;µg/m3;horaire;2021-11-24T04:00:00+01:00;2021-11-24T04:59:59+01:00;1;244500468
